Input Sample	Neurons_pos	Neurons_neg	P-value	Pearson Correlation	RMSE
R15174_HFF2HBBXX	0.10872557538830788	0.8912744246116922	0.08888888888888889	0.2502930262319929	0.9969231140826249
R15175_HJV3YBBXX	0.29066681597351046	0.7093331840264896	0.044444444444444446	0.3521470336690418	0.9393147508946319
R15176_HCJ72BBXX	0.35335709694093037	0.6466429030590697	0.044444444444444446	0.39166973853525844	0.9198440119605642
R15178_HCJGJBBXX	0.09345561879418361	0.9065443812058164	0.08888888888888889	0.2535362006846501	0.9986549490758564
R15179_HJV3YBBXX	0.20786197704529782	0.7921380229547021	0.08888888888888889	0.23565436130875086	0.9892759517500227
R15181_HJV3YBBXX	0.17919627259457271	0.8208037274054273	0.17777777777777778	0.11601159057118944	1.032031054918243
R15182_HCJGJBBXX	0.3171408876828623	0.6828591123171377	0.05555555555555555	0.3256725252630027	0.950583398873316
R15184_HCJ72BBXX	0.33457506012723	0.6654249398727701	0.011111111111111112	0.47323993621663474	0.8797732427152779
R15185_HCJ72BBXX	0.4040533070468713	0.5959466929531286	0.011111111111111112	0.5562195124431575	0.8264372113964462
R15186_HCJGJBBXX	0.2627851143829789	0.7372148856170211	0.08888888888888889	0.24165882130136312	0.985116815684047
R15188_HCJ72BBXX	0.18777293692246252	0.8122270630775374	0.45555555555555555	0.025283237871860192	1.0613117676433435
R15189_HFF2HBBXX	0.2816509207656453	0.7183490792343548	0.07777777777777778	0.2689199084520239	0.9743676778894262
R15190_HFF2HBBXX	0.11777246324419806	0.8822275367558019	0.044444444444444446	0.35024622819028567	0.9614971720623585
R15192_HJV23BBXX	0.046772854031691576	0.9532271459683083	0.011111111111111112	0.44168889125141386	0.9414774589946054
R15193_HJV23BBXX	0.25086315752347343	0.7491368424765266	0.1111111111111111	0.2090236181493532	0.9975680636417544
R15194_HCJ72BBXX	0.24333979438985476	0.7566602056101451	0.044444444444444446	0.37570360706731953	0.9335215609035918
R15195_HFF2HBBXX	0.30093608083714973	0.6990639191628503	0.18888888888888888	0.11057078663241025	1.0398169617064705
R15197_HCJ72BBXX	0.34712576798974604	0.652874232010254	0.011111111111111112	0.5279984739177707	0.8497762677930217
R15198_HCJ72BBXX	0.37028726389418987	0.6297127361058101	0.011111111111111112	0.48205629110835874	0.8721843204085956
R15199_HFF2HBBXX	0.27887465492932	0.7211253450706799	0.03333333333333333	0.42396454042579684	0.9092063263565751
R15200_HCJ72BBXX	0.36648227627257624	0.6335177237274238	0.08888888888888889	0.25237985386730394	0.9892031179713203
R15202_HFF2HBBXX	0.18088596464121906	0.8191140353587809	0.23333333333333334	0.0912841886522265	1.0400627543302359
R15203_HJV3YBBXX	0	1.0	0.044444444444444446	0.36605797930643835	0.9789651983882098
R15204_HFF2HBBXX	0.31323596414100147	0.6867640358589986	0.044444444444444446	0.3648011060887214	0.932924661730544
R15206_HJV23BBXX	0.42199648698905173	0.5780035130109483	0.044444444444444446	0.3824554956684121	0.9301916184405932
R15207_HFF2HBBXX	0.3329430808156711	0.6670569191843289	0.044444444444444446	0.39816980429852655	0.9168144388823375
R15208_HJV3YBBXX	0.29015542491677654	0.7098445750832234	0.08888888888888889	0.23432105553549115	0.9887682965054383
R15209_HJV3YBBXX	0.3674329785458064	0.6325670214541935	0.044444444444444446	0.41839658582384726	0.9063068234041398
R15210_HJV23BBXX	0.16962004454047905	0.8303799554595209	0.24444444444444444	0.07979528007366682	1.04448950021282
R15211_HFF2HBBXX	0.20097065488793137	0.7990293451120687	0.05555555555555555	0.3172182351112599	0.9606413521270388
R15212_HFF2HBBXX	0.23655389937396568	0.7634461006260344	0.044444444444444446	0.3401385966414983	0.9481999083863102
R15213_HFF2HBBXX	0.15670918287160593	0.843290817128394	0.1111111111111111	0.21454078113151642	1.0014963476382952
R15214_HCJ72BBXX	0.23082428463417365	0.7691757153658263	0.044444444444444446	0.39868842629445567	0.9260797340798348
R15216_HCJGJBBXX	0.19291851988649236	0.8070814801135077	0.08888888888888889	0.2535179316642001	0.984218183662422
R15217_HJV23BBXX	0.31744539931355936	0.6825546006864407	0.05555555555555555	0.2991919515462143	0.9624186764782461
R15218_HFF2HBBXX	0.19668980234559305	0.8033101976544068	0.05555555555555555	0.32050830455216905	0.9599654887689242
R15219_HFF2HBBXX	0.11914579837176276	0.8808542016282372	0.24444444444444444	0.07979031810710653	1.0503738445026272
R15220_HJV3YBBXX	0.25874385199352745	0.7412561480064725	0.1	0.22184927576831517	0.9927540558040586
R15221_HJV3YBBXX	0.31570699419580583	0.6842930058041943	0.05555555555555555	0.30238659261565215	0.9609336642261687
R15223_HFF2HBBXX	0.16978128996820982	0.8302187100317902	0.05555555555555555	0.33684765184442794	0.9577935029496141
R15224_HJV23BBXX	0.18354377397663618	0.8164562260233638	0.23333333333333334	0.09283803810391476	1.0394189924281552
R15227_HCJ72BBXX	0.3622547745716074	0.6377452254283926	0.03333333333333333	0.4267422624746243	0.9019599110031896
R15228_HCJGJBBXX	0.23228897965639175	0.7677110203436083	0.08888888888888889	0.2341092739738479	0.988516724394604
R15229_HFF2HBBXX	0.34605595305754483	0.6539440469424553	0.08888888888888889	0.24495528455079585	0.9894876973711099
R15230_HJV3YBBXX	0.10827518127378355	0.8917248187262165	0.08888888888888889	0.25842263117622777	0.9942921899418464
R15231_HJV3YBBXX	0.10171877782137553	0.8982812221786245	0.12222222222222222	0.1838931507243113	1.0200796278763105
R15232_HJV23BBXX	0.18252729301443568	0.8174727069855643	0.18888888888888888	0.11170511105587644	1.0332528231681577
R15233_HCJGJBBXX	0.15715615369183258	0.8428438463081674	0.07777777777777778	0.2666921169581019	0.9838571204521391
R15234_HFF2HBBXX	0.2620380966487347	0.7379619033512653	0.044444444444444446	0.39531190053192744	0.9233835725625679
R15237_HCJGJBBXX	0.252243002539284	0.747756997460716	0.044444444444444446	0.36092686794779355	0.9384623451783012
R15238_HJV3YBBXX	0.29903272992951446	0.7009672700704855	0.011111111111111112	0.451678659621143	0.8942881057153322
R15239_HCJ72BBXX	0.16340974836087702	0.836590251639123	0.08888888888888889	0.23996439433443642	0.9921179522852043
R15240_HCJGJBBXX	0.2244040785235929	0.7755959214764071	0.1	0.2192403226835124	0.9942494785548868
R15241_HCJ72BBXX	0.14752989658338778	0.8524701034166122	0.18888888888888888	0.10564105716412439	1.0382280022010575
R15242_HJV23BBXX	0.24968069308843996	0.75031930691156	0.011111111111111112	0.44196355971742335	0.9057625463922033
R15243_HJV23BBXX	0.2653267882328477	0.7346732117671523	0.011111111111111112	0.43888427249638373	0.9046194794789673
R15244_HJV3YBBXX	0.25063222446756045	0.7493677755324395	0.17777777777777778	0.1274971813826959	1.0278093347461563
R15245_HCJGJBBXX	0.28506770274769605	0.714932297252304	0.1111111111111111	0.20180670230449527	1.0016128271467697
R15246_HJV3YBBXX	0.22216860642746042	0.7778313935725396	0.044444444444444446	0.3706501915174188	0.9381276273129755
R15247_HJV3YBBXX	0.07847433722049797	0.921525662779502	0.23333333333333334	0.08623699859837396	1.0564349193710991
R15250_HFF2HBBXX	0.18861758898817022	0.8113824110118297	0.17777777777777778	0.1287265597189277	1.0272644148866041
R15252_HJV23BBXX	0.2866645328005691	0.713335467199431	0.044444444444444446	0.38622624099937286	0.9248213829487086
R15253_HCJGJBBXX	0.34421864771010713	0.6557813522898929	0.1111111111111111	0.19054819300593281	1.0137717282470609
R15254_HFF2HBBXX	0.2649387741681907	0.7350612258318093	0.044444444444444446	0.37681636064956603	0.9307446468318151
R15255_HJV23BBXX	0.4339430273223227	0.5660569726776772	0.08888888888888889	0.23354286290461468	1.0153301035261695
R15256_HCJGJBBXX	0.38802637790743794	0.611973622092562	0.05555555555555555	0.3080152577809252	0.9652230796526375
R15257_HCJGJBBXX	0.30049936809672073	0.6995006319032793	0.044444444444444446	0.3574786154981514	0.9365897485744582
R15260_HCJGJBBXX	0.20779370265395802	0.792206297346042	0.24444444444444444	0.08446857124828791	1.0416236609653893
R15261_HCJ72BBXX	0.17007644175519873	0.8299235582448012	0.18888888888888888	0.10778312431957841	1.035369411091088
R15263_HFF2HBBXX	0.2331304862867376	0.7668695137132624	0.08888888888888889	0.2556661496054874	0.9804973310529567
R15264_HFF2HBBXX	0.20634294696447644	0.7936570530355236	0.07777777777777778	0.2694531001467619	0.9773234954791884
R15267_HCJ72BBXX	0.09133330179309933	0.9086666982069007	0.23333333333333334	0.08602518711846807	1.0536251900781908
R15268_HFF2HBBXX	0.3438858315111182	0.6561141684888819	0.08888888888888889	0.24287595748451007	0.9901351669000382
R15269_HFF2HBBXX	0.2091178460245186	0.7908821539754815	0.05555555555555555	0.3181496203404261	0.9593681081480454
R15270_HJV23BBXX	0.08213515028714774	0.9178648497128522	0.044444444444444446	0.4220931405486549	0.9425535235630046
R15271_HJV23BBXX	0.20469380954376856	0.7953061904562314	0.05555555555555555	0.2935425115774306	0.9688038019962044
R15272_HJV23BBXX	0.15280289872134062	0.8471971012786593	0.28888888888888886	0.05930292029131676	1.0524492394048057
R15273_HCJGJBBXX	0.39618361962345566	0.6038163803765444	0.044444444444444446	0.38384782161843234	0.9262417434015118
R15274_HJV23BBXX	0.2926954430065221	0.7073045569934779	0.044444444444444446	0.3457866589728311	0.9419744357931635
R15275_HCJ72BBXX	0.13169405209055823	0.8683059479094417	0.23333333333333334	0.09076070615014269	1.0449994354590948
R15276_HCJ72BBXX	0.13914157324436477	0.8608584267556352	0.07777777777777778	0.26459575191625145	0.9871551529200254
R15279_HCJ72BBXX	0.341731127367671	0.6582688726323291	0.05555555555555555	0.30772956057575923	0.9599472464492474
R15280_HCJGJBBXX	0.1707295109207874	0.8292704890792126	0.12222222222222222	0.17285573631994394	1.013861579655875
R15281_HCJ72BBXX	0.08503965890486474	0.9149603410951352	0.044444444444444446	0.35239192546634235	0.9665639190962694
R15282_HJV23BBXX	0.2947003850058583	0.7052996149941417	0.044444444444444446	0.35826313673723625	0.9364820973339024
R15283_HCJGJBBXX	0.15940884018745194	0.8405911598125481	0.5777777777777777	0.003582733449730074	1.0694564572154008
R15284_HJV3YBBXX	0	1.0	0.28888888888888886	0.056305658163882	1.090607175281576
R15285_HJV23BBXX	0.2904118535830647	0.7095881464169354	0.044444444444444446	0.35230298846056934	0.9392591344911904
R15286_HCJGJBBXX	0.4144606292182296	0.5855393707817703	0.044444444444444446	0.39449205746920607	0.9223261533246754
R15287_HCJ72BBXX	0.44668516312682255	0.5533148368731775	0.044444444444444446	0.40013287202707865	0.9238525992933522
R15288_HCJ72BBXX	0.3497991883386864	0.6502008116613136	0.011111111111111112	0.4375715584854327	0.8967146148147196
R15289_HCJ72BBXX	0.214785686602235	0.785214313397765	0.06666666666666667	0.2754548850866447	0.9744290458879765
R15290_HJV3YBBXX	0.29308300848541285	0.7069169915145871	0.044444444444444446	0.38575664040540786	0.9245381505179391
R15291_HCJ72BBXX	0.27569413797630293	0.7243058620236971	0.08888888888888889	0.25174381531192336	0.9812399915470248
R15292_HFF2HBBXX	0.20750945736022666	0.7924905426397734	0.011111111111111112	0.5552701090039467	0.868371173029875
R15293_HCJ72BBXX	0.37350412475654854	0.6264958752434514	0.08888888888888889	0.2575408819196948	0.987951764134091
R15294_HJV23BBXX	0.2965672052657675	0.7034327947342326	0.1111111111111111	0.2132127819839051	0.9978346150180979
R15295_HFF2HBBXX	0.03215600961947223	0.9678439903805278	0.011111111111111112	0.5001381247340088	0.9217478420865075
